Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C401, C402, C403, C404",0603,5,1uF,
"C102, C104, C106, C107, C405",0402,5,100nF,
"C103, C501, C601, C701, C801, C901",0402,6,10nF,
C105,0805,1,4.7uF,
D301,0603,1,3.3V,
D302,0603,1,5V,
IC101,QFN50P700X700X65-49N-D,1,STM32F411CCU6TR,
"IC401, IC402",SOT95P280X145-5N,2,TLV77333PDBVR,
J201,GSB1C41110SSHR,1,GSB1C41110SSHR,
J202,PinHeader_1x06_P2.54mm_Vertical,1,PortB1,
J203,PinHeader_1x06_P2.54mm_Vertical,1,PortB2,
J204,PinHeader_1x06_P2.54mm_Vertical,1,PortA1,
J205,PinHeader_1x06_P2.54mm_Vertical,1,PortA2,
J403,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J404,PinHeader_1x04_P2.54mm_Vertical,1,SYS_JTAG,
J405,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
"LED501, LED601, LED701, LED801, LED901",4684,5,4684,
"R201, R202",0603,2,10,
"R301, R302",0603,2,1k,
R402,0402,1,10k,
Y101,AbraconASDDV,1,ASDDV-16.000MHZ-LR-T,
